-e	-e	Rq-y
felőlük	felől	St
felőrli	felőröl	Vmip3s---y
felőrlik	felőröl	Vmip3p---y
fene	fene	Nc-sn
feneke	fenék	Nc-sn---s3
fenekébe	fenék	Nc-sx---s3
fenekén	fenék	Nc-sp---s3
fenekéről	fenék	Nc-sh---s3
fenn	fenn	Rg
fenn	fenn	Rp
fennakadt	fennakad	Vmis3s---n
fennakadt	fennakadt	Afp-sn
fennakadásokra	fennakadás	Nc-ps
fennhangon	fennhangon	Rg
fennhatóságát	fennhatóság	Nc-sa---s3
fennkölt	fennkölt	Afp-sn
fennkölt	fennkölt	Vmip3s---n
fennmaradjon	fennmarad	Vmmp3s---n
fennmaradnak	fennmarad	Vmip3p---n
fennmaradt	fennmarad	Vmis3s---n
fennmaradt	fennmaradt	Afp-sn
fennmaradtak	fennmarad	Vmis3p---n
fennmaradtak	fennmaradt	Afp-pn
fennmaradását	fennmaradás	Nc-sa---s3
fennmaradó	fennmaradó	Afp-sn
fennsíkon	fennsík	Nc-sp
fenntartani	fenntart	Vmn
fenntartanák	fenntart	Vmcp3p---y
fenntartja	fenntart	Vmip3s---y
fenntartják	fenntart	Vmip3p---y
fenntartott	fenntart	Vmis3s---n
fenntartott	fenntartott	Afp-sn
fenntartotta	fenntart	Vmis3s---y
fenntartottuk	fenntart	Vmis1p---y
fenntartották	fenntart	Vmis3p---y
fenntartsa	fenntart	Vmmp3s---y
fenntartsák	fenntart	Vmmp3p---y
fenntartás	fenntartás	Nc-sn
fenntartása	fenntartás	Nc-sn---s3
fenntartásai	fenntartás	Nc-pn---s3
fenntartásait	fenntartás	Nc-pa---s3
fenntartásokat	fenntartás	Nc-pa
fenntartásában	fenntartás	Nc-s2---s3
fenntartásához	fenntartás	Nc-st---s3
fenntartására	fenntartás	Nc-ss---s3
fenntartását	fenntartás	Nc-sa---s3
fenntartó	fenntartó	Afp-sn
fenntartó	fenntartó	Nc-sn
fenntartói	fenntartó	Afp-pn----s3
fenntartói	fenntartó	Nc-pn---s3
fenntartói	fenntartói	Afp-sn
fenntartója	fenntartó	Afp-sn----s3
fenntartója	fenntartó	Nc-sn---s3
fennáll	fennáll	Vmip3s---n
fennállnak	fennáll	Vmip3p---n
fennállni	fennáll	Vmn
fennállt	fennáll	Vmis3s---n
fennállt	fennállt	Afp-sn
fennállása	fennállás	Nc-sn---s3
fennállásuk	fennállás	Nc-sn---p3
fennállására	fennállás	Nc-ss---s3
fennálló	fennálló	Afp-sn
fenségét	fenség	Nc-sa-----s
fenségét	fenség	Nc-sa---s3
fenségét	fenségét	Nc-sn
fent	fen	Vmis3s---n
fent	fent	Afp-sn
fent	fent	Rg
fentebb	fent	Afc-sn
fentebb	fentebb	Afp-sn
fentebb	fentebb	Rg
fenti	fenti	Afp-sn
fentiekből	fenti	Afp-pe
fentieket	fenti	Afp-pa
fentiekre	fenti	Afp-ps
fenyeget	fenyeget	Vmip3s---n
fenyegetett	fenyeget	Vmis3s---n
fenyegetett	fenyegetett	Afp-sn
fenyegetettségben	fenyegetettség	Nc-s2
fenyegeti	fenyeget	Vmip3s---y
fenyegetni	fenyeget	Vmn
fenyegette	fenyeget	Vmis3s---y
fenyegették	fenyeget	Vmis3p---y
fenyegetés	fenyegetés	Nc-sn
fenyegetéssel	fenyegetés	Nc-si
fenyegető	fenyegető	Afp-sn
fenyegető	fenyegető	Nc-sn
fenyegetően	fenyegető	Afp-sp
fenyegetően	fenyegető	Afp-sw
fenyegetőztek	fenyegetőz	Vmis3p---n
fenyegetőzött	fenyegetőz	Vmis3s---n
fenyves	fenyves	Nc-sn
fenyveseket	fenyves	Nc-pa
fenébe	fene	Nc-sx
fenékküszöb	fenékküszöb	Nc-sn
fenékre	fene	Nc-ps
fenékre	fenék	Nc-ss
fenén	fene	Nc-sp
fenét	fene	Nc-sa
ferde	ferde	Afp-sn
ferdesége	ferdeség	Nc-sn---s3
ferdén	ferde	Afp-sp
ferencvárosi	ferencvárosi	Afp-sn
fergeteges	fergeteges	Afp-sn
fertőz	fertőz	Vmip3s---n
fertőzte	fertőz	Vmis3s---y
fertőzve	fertőzve	Rv
festeni	fest	Vmn
festett	fest	Vmis3s---n
festett	festett	Afp-sn
festette	fest	Vmis3s---y
festette	festet	Vmis3s---y
festettek	fest	Vmis3p---n
festettek	festet	Vmip2p---n
festettek	festet	Vmis3p---n
festettek	festett	Afp-pn
festették	fest	Vmis3p---y
festették	festet	Vmis3p---y
festik	fest	Vmip3p---y
festmény	festmény	Nc-sn
festményt	festmény	Nc-sa
festve	festve	Rv
festék	festék	Nc-sn
festékeit	festék	Nc-pa---s3
festéket	festék	Nc-sa
festékkel	festék	Nc-si
festékkel	festékkel	Nc-sn
festészet	festészet	Nc-sn
festészeti	festészeti	Afp-sn
festészettől	festészet	Nc-sb
festő	festő	Afp-sn
festő	festő	Nc-sn
festői	festő	Afp-pn----s3
festői	festő	Nc-pn---s3
festői	festői	Afp-sn
festőiskolásokat	festőiskolás	Afp-pa
festők	festő	Afp-pn
festők	festő	Nc-pn
festőkre	festő	Afp-ps
festőkre	festő	Nc-ps
festőktől	festő	Afp-pb
festőktől	festő	Nc-pb
festőművész	festőművész	Nc-sn
festőnő	festőnő	Nc-sn
festőnőnek	festőnő	Nc-sd
festőnőt	festőnő	Nc-sa
feszegetésével	feszegetés	Nc-si-----s
feszegetésével	feszegetés	Nc-si---s3
feszes	feszes	Afp-sn
feszesebb	feszes	Afc-sn
feszességét	feszesség	Nc-sa-----s
feszességét	feszesség	Nc-sa---s3
fesztelenül	fesztelen	Afp-sw
fesztivál	fesztivál	Nc-sn
fesztiváligazgató	fesztiváligazgató	Afp-sn
fesztiváligazgató	fesztiváligazgató	Nc-sn
fesztiválján	fesztivál	Nc-sp---s3
fesztiválját	fesztivál	Nc-sa---s3
fesztiválon	fesztivál	Nc-sp
feszít	feszít	Vmip3s---n
feszítette	feszít	Vmis3s---y
feszítettek	feszít	Vmis3p---n
feszítettek	feszítet	Vmip2p---n
feszítettek	feszítet	Vmis3p---n
feszítettek	feszített	Afp-pn
feszíti	feszít	Vmip3s---y
feszítik	feszít	Vmip3p---y
feszítését	feszítés	Nc-sa-----s
feszítését	feszítés	Nc-sa---s3
feszül	fesz	Nc-sw
feszül	feszül	Vmip3s---n
feszülnek	feszül	Vmip3p---n
feszülten	feszült	Afp-sp
feszülten	feszült	Afp-sw
feszültség	feszültség	Nc-sn
feszültsége	feszültség	Nc-sn---s3
feszültségek	feszültség	Nc-pn
feszültségen	feszültség	Nc-sp
feszültséget	feszültség	Nc-sa
feszültséggel	feszültség	Nc-si
feszültségre	feszültség	Nc-ss
feszültségén	feszültség	Nc-sp-----s
feszültségén	feszültség	Nc-sp---s3
feszültté	feszült	Afp-sy
fetreng	fetreng	Vmip3s---n
fetrengeni	fetreng	Vmn
fetrengett	fetreng	Vmis3s---n
fetrengett	fetrengett	Afp-sn
fetrengtél	fetreng	Vmis2s---n
fia	fi	Nc-sn---s3
fia	fia	Nc-sn
fia	fiú	Nc-sn---s3
fiai	fi	Nc-pn---s3
fiai	fiai	Afp-sn
fiai	fiú	Nc-pn---s3
fiaik	fi	Nc-pn---p3
fiaik	fiú	Nc-pn---p3
fiaimnak	fi	Nc-pd---s1
fiaimnak	fiú	Nc-pd---s1
fiaink	fi	Nc-pn---p1
fiaink	fiú	Nc-pn---p1
fiaitoknak	fi	Nc-pd---p2
fiaitoknak	fiú	Nc-pd---p2
fiam	fi	Nc-sn---s1
fiam	fiú	Nc-sn---s1
fiamat	fi	Nc-sa
fiamat	fiú	Nc-sa
fiatal	fiatal	Afp-sn
fiatalabb	fiatal	Afc-sn
fiatalabbak	fiatal	Afc-pn
fiatalabbaknak	fiatal	Afc-pd
fiatalasszony	fiatalasszony	Nc-sn
fiatalember	fiatalember	Nc-sn
fiatalemberrel	fiatalember	Nc-si
fiatalembert	fiatalember	Nc-sa
fiatalja	fiatal	Afp-sn----s3
fiatalkora	fiatalkor	Nc-sn---s3
fiatalkoromban	fiatalkor	Nc-s2
fiatalkoromban	fiatalkorom	Nc-s2
fiatalkorában	fiatalkor	Nc-s2---s3
fiatalkorának	fiatalkor	Nc-sd---s3
fiatalkorúak	fiatalkorú	Afp-pn
fiatalnak	fiatal	Afp-sd
fiatalok	fiatal	Afp-pn
fiatalokból	fiatal	Afp-pe
fiataloknak	fiatal	Afp-pd
fiataloktól	fiatal	Afp-pb
fiatalon	fiatal	Afp-sp
fiatalon	fiatalon	Nc-sn
fiatalos	fiatalos	Afp-sn
fiatalosan	fiatalos	Afp-sw
fiatalság	fiatalság	Nc-sn
fiatalsága	fiatalság	Nc-sn---s3
fiatalságában	fiatalság	Nc-s2---s3
fiatalságából	fiatalság	Nc-se---s3
fiatalt	fiatal	Afp-sa
ficam	ficam	Nc-sn
fickó	fickó	Nc-sn
fickóba	fickó	Nc-sx
fickók	fickó	Nc-pn
fickónak	fickó	Nc-sd
figura	figura	Nc-sn
figurákkal	figura	Nc-pi
figurára	figura	Nc-ss
figurát	figura	Nc-sa
figurával	figura	Nc-si
figyel	figyel	Vmip3s---n
figyeld	figyel	Vmmp2s---y
figyelek	figyel	Vmip1s---n
figyelem	figyel	Vmip1s---y
figyelem	figyelem	Nc-sn
figyelembe	figyelem	Nc-sx
figyelembevételével	figyelembevétel	Nc-si-----s
figyelembevételével	figyelembevétel	Nc-si---s3
figyelemfelhívó	figyelemfelhívó	Afp-sn
figyelemmel	figyelem	Nc-si
figyelemre	figyelem	Nc-ss
figyelemreméltóan	figyelemreméltó	Afp-sw
figyelemreméltóbb	figyelemreméltó	Afc-sn
figyelgetik	figyelget	Vmip3p---y
figyelhető	figyelhető	Afp-sn
figyeli	figyel	Vmip3s---y
figyelik	figyel	Vmip3p---y
figyelje	figyel	Vmmp3s---y
figyeljen	figyel	Vmmp3s---n
figyeljenek	figyel	Vmmp3p---n
figyeljetek	figyel	Vmmp2p---n
figyelme	figyelem	Nc-sn---s3
figyelmesen	figyelmes	Afp-sp
figyelmesen	figyelmes	Afp-sw
figyelmességgel	figyelmesség	Nc-si
figyelmet	figyelem	Nc-sa
figyelmeztetett	figyelmeztet	Vmis3s---n
figyelmeztetett	figyelmeztetett	Afp-sn
figyelmezteti	figyelmeztet	Vmip3s---y
figyelmeztetlek	figyelmeztet	Vmip1s---2
figyelmeztetni	figyelmeztet	Vmn
figyelmeztette	figyelmeztet	Vmis3s---y
figyelmeztettelek	figyelmeztet	Vmis1s---2
figyelmeztetés	figyelmeztetés	Nc-sn
figyelmeztetése	figyelmeztetés	Nc-sn---s3
figyelmeztetéssel	figyelmeztetés	Nc-si
figyelmeztetésül	figyelmeztetés	Nc-sw
figyelmeztetünk	figyelmeztet	Vmip1p---n
figyelmeztető	figyelmeztető	Afp-sn
figyelmeztető	figyelmeztető	Nc-sn
figyelmébe	figyelem	Nc-sx-----s
figyelmébe	figyelem	Nc-sx---s3
figyelmét	figyelem	Nc-sa-----s
figyelmét	figyelem	Nc-sa---s3
figyelmüket	figyelem	Nc-sa---p3
figyelnek	figyel	Vmip3p---n
figyelni	figyel	Vmn
figyelsz	figyel	Vmip2s---n
figyelt	figyel	Vmis3s---n
figyelt	figyelt	Afp-sn
figyelte	figyel	Vmis3s---y
figyeltek	figyel	Vmip2p---n
figyeltek	figyel	Vmis3p---n
figyeltek	figyelt	Afp-pn
figyeltem	figyel	Vmis1s---n
figyeltem	figyel	Vmis1s---y
figyeltem	figyelt	Afp-sn----s1
figyelve	figyelve	Rv
figyelő	figyelő	Afp-sn
figyelő	figyelő	Nc-sn
fiktív	fiktív	Afp-sn
filantróp	filantróp	Nc-sn
filharmonikusokat	filharmonikus	Afp-pa
fillér	fillér	Nc-sn
fillérrel	fillér	Nc-si
fillért	fillér	Nc-sa
fillérükbe	fillér	Nc-sx---p3
film	film	Nc-sn
filmalkotást	filmalkotás	Nc-sa
filmbemutatókat	filmbemutató	Afp-pa
filmbemutatókat	filmbemutató	Nc-pa
filmbemutatón	filmbemutató	Afp-sp
filmbemutatón	filmbemutató	Afp-sw
filmbemutatón	filmbemutató	Nc-sp
filmeken	film	Nc-pp
filmeket	film	Nc-pa
filmekkel	film	Nc-pi
filmet	film	Nc-sa
filmező	filmező	Afp-sn
filmgyárnak	filmgyár	Nc-sd
filmgyártás	filmgyártás	Nc-sn
filmhíradóban	filmhíradó	Nc-s2
filmjét	film	Nc-sa---s3
filmlevél	filmlevél	Nc-sn
filmművészet	filmművészet	Nc-sn
filmrajongók	filmrajongó	Afp-pn
filmrajongók	filmrajongó	Nc-pn
filmrendező	filmrendező	Afp-sn
filmrendező	filmrendező	Nc-sn
filmrendezőt	filmrendező	Afp-sa
filmrendezőt	filmrendező	Nc-sa
filmstúdió	filmstúdió	Nc-sn
filmszínházra	filmszínház	Nc-ss
filmvilág	filmvilág	Nc-sn
filmvásznon	filmvászon	Nc-sp
filodendron	filodendron	Nc-sn
filozofikus	filozofikus	Afp-sn
filozófia	filozófia	Nc-sn
filozófiai	filozófiai	Afp-sn
filozófiában	filozófia	Nc-s2
filozófiájuk	filozófia	Nc-sn---p3
filozófiájával	filozófia	Nc-si---s3
filozófus	filozófus	Nc-sn
filozófusok	filozófus	Nc-pn
finanszírozható	finanszírozható	Afp-sn
finanszírozhatók	finanszírozható	Afp-pn
finanszírozta	finanszíroz	Vmis3s---y
finanszírozták	finanszíroz	Vmis3p---y
finanszírozza	finanszíroz	Vmip3s---y
finanszírozza	finanszíroz	Vmmp3s---y
finanszírozzák	finanszíroz	Vmip3p---y
finanszírozzák	finanszíroz	Vmmp3p---y
finanszírozás	finanszírozás	Nc-sn
finanszírozásban	finanszírozás	Nc-s2
finanszírozási	finanszírozási	Afp-sn
finanszírozásra	finanszírozás	Nc-ss
finanszírozást	finanszírozás	Nc-sa
finanszírozásának	finanszírozás	Nc-sd---s3
finanszírozására	finanszírozás	Nc-ss---s3
finanszírozásáról	finanszírozás	Nc-sh---s3
finanszírozását	finanszírozás	Nc-sa---s3
finanszírozásával	finanszírozás	Nc-si---s3
finnyás	finnyás	Afp-sn
finom	finom	Afp-sn
finomabban	finom	Afc-s2
finomabban	finom	Afc-sw
finoman	finom	Afp-sw
finomította	finomít	Vmis3s---y
finomítsd	finomít	Vmmp2s---y
fintorai	fintor	Nc-pn---s3
fintorgó	fintorgó	Afp-sn
fintorral	fintor	Nc-si
finálé	finálé	Nc-sn
fináncnak	finánc	Nc-sd
firkák	firka	Nc-pn
firkálnak	firkál	Vmip3p---n
firkált	firkál	Vmis3s---n
firkált	firkált	Afp-sn
firtatják	firtat	Vmip3p---y
firtatott	firtat	Vmis3s---n
firtatott	firtatott	Afp-sn
firtató	firtató	Afp-sn
firtatós	firtatós	Afp-sn
fittyet	fitty	Nc-sa
fityinggel	fitying	Nc-si
fityingnek	fitying	Nc-sd
fivérek	fivér	Nc-pn
fix	fix	Afp-sn
fizesse	fizet	Vmmp3s---y
fizessen	fizet	Vmmp3s---n
fizessék	fizet	Vmmp3p---y
fizet	fizet	Vmip3s---n
fizetett	fizet	Vmis3s---n
fizetett	fizetett	Afp-sn
fizethetetlen	fizethetetlen	Afp-sn
fizetheti	fizethet	Vmip3s---y
fizethetik	fizethet	Vmip3p---y
fizethető	fizethető	Afp-sn
fizeti	fizet	Vmip3s---y
fizetik	fizet	Vmip3p---y
fizetjük	fizet	Vmip1p---y
fizetne	fizet	Vmcp3s---n
fizetnek	fizet	Vmip3p---n
fizetni	fizet	Vmn
fizetnie	fizet	Vmnp3s
fizetniük	fizet	Vmnp3p
fizetné	fizet	Vmcp3s---y
fizetnünk	fizet	Vmnp1p
fizetség	fizetség	Nc-sn
fizette	fizet	Vmis3s---y
fizettek	fizet	Vmip2p---n
fizettek	fizet	Vmis3p---n
fizették	fizet	Vmis3p---y
fizettél	fizet	Vmis2s---n
fizettünk	fizet	Vmis1p---n
fizetés	fizetés	Nc-sn
fizetések	fizetés	Nc-pn
fizetéseknek	fizetés	Nc-pd
fizetésemelés	fizetésemelés	Nc-sn
fizetésemelésre	fizetésemelés	Nc-ss
fizetésemelést	fizetésemelés	Nc-sa
fizetési	fizetési	Afp-sn
fizetésképtelen	fizetésképtelen	Afp-sn
fizetésképtelen	fizetésképtelen	Nc-sn
fizetésképtelenség	fizetésképtelenség	Nc-sn
fizetésképtelenséget	fizetésképtelenség	Nc-sa
fizetést	fizetés	Nc-sa
fizetésére	fizetés	Nc-ss-----s
fizetésére	fizetés	Nc-ss---s3
fizetésünket	fizetés	Nc-sa---p1
fizetünk	fizet	Vmip1p---n
fizető	fizető	Afp-sn
fizető	fizető	Nc-sn
fizetők	fizető	Afp-pn
fizetők	fizető	Nc-pn
fizetőképesség	fizetőképesség	Nc-sn
fizetőpincérnek	fizetőpincér	Nc-sd
fizetőpálya	fizetőpálya	Nc-sn
fizetővé	fizető	Afp-sy
fizetővé	fizető	Nc-sy
fizika	fizika	Nc-sn
fizikai	fizikai	Afp-sn
fizikailag	fizikailag	Rg
fizikainak	fizikai	Afp-sd
fizikainak	fizikaín	Nc-pn
fizikus	fizikus	Nc-sn
fiában	fi	Nc-s2---s3
fiában	fia	Nc-s2
fiában	fiú	Nc-s2---s3
fiából	fi	Nc-se---s3
fiából	fia	Nc-se
fiából	fiú	Nc-se---s3
fiának	fi	Nc-sd---s3
fiának	fia	Nc-sd
fiának	fiú	Nc-sd---s3
fiára	fi	Nc-ss---s3
fiára	fia	Nc-ss
fiára	fiú	Nc-ss---s3
fiát	fi	Nc-sa---s3
fiát	fia	Nc-sa
fiát	fiú	Nc-sa---s3
fiókba	fiók	Nc-sx
fiókban	fiók	Nc-s2
fiókból	fiók	Nc-se
fiókhálózat	fiókhálózat	Nc-sn
fiókintézménye	fiókintézmény	Nc-sn---s3
fiókintézményeikkel	fiókintézmény	Nc-pi---p3
fiókja	fiók	Nc-sn---s3
fiókjai	fiók	Nc-pn---s3
fiókjaiban	fiók	Nc-p2---s3
fiókjából	fiók	Nc-se---s3
fiókját	fiók	Nc-sa---s3
fiókos	fiókos	Afp-sn
fiókot	fiók	Nc-sa
fiú	fiú	Nc-sn
fiúban	fiú	Nc-s2
fiúcska	fiúcska	Nc-sn
fiúcskák	fiúcska	Nc-pn
fiúcskák	fiúcská	Nc-pn
fiúgyermek	fiúgyermek	Nc-sn
fiúk	fiú	Nc-pn
fiúk-lányok	fiú-lány	Nc-pn
fiúkat	fiú	Nc-pa
fiúkban	fiú	Nc-p2
fiúkból	fiú	Nc-pe
fiúkkal	fiú	Nc-pi
fiúknak	fiú	Nc-pd
fiúkra	fiú	Nc-ps
fiúként	fiú	Rg
fiúnak	fiú	Nc-sd
fiúra	fiú	Nc-ss
fiús	fiús	Afp-sn
fiúsan	fiús	Afp-sw
fiút	fiú	Nc-sa
fiúval	fiú	Nc-si
flamingók	flamingó	Nc-pn
flegma	flegma	Nc-sn
floppylemezen	floppylemez	Nc-sp
flotta	flotta	Nc-sn
flottát	flotta	Nc-sa
fluktuációban	fluktuáció	Nc-s2
fluktuációt	fluktuáció	Nc-sa
flótáját	flóta	Nc-sa---s3
focistája	focista	Nc-sn---s3
fodor	fodor	Nc-sn
fodrozott	fodroz	Vmis3s---n
fodrozott	fodrozott	Afp-sn
fog	fog	Nc-sn
fog	fog	Vmip3s---n
foga	fog	Nc-sn---s3
fogad	fog	Nc-sn---s2
fogad	fogad	Vmip3s---n
fogadalmat	fogadalom	Nc-sa
fogadat	fog	Nc-sa---s2
fogadat	fogadat	Nc-sn
fogadat	fogadat	Vmip3s---n
fogadhatnak	fogadhat	Vmip3p---n
fogadhatott	fogadhat	Vmis3s---n
fogadja	fogad	Vmip3s---y
fogadja	fogad	Vmmp3s---y
fogadják	fogad	Vmip3p---y
fogadják	fogad	Vmmp3p---y
fogadkoztak	fogadkozik	Vmis3p---n
fogadkozás	fogadkozás	Nc-sn
fogadkozások	fogadkozás	Nc-pn
fogadni	fogad	Vmn
fogadnia	fogad	Vmnp3s
fogadniuk	fogad	Vmnp3p
fogadott	fogad	Vmis3s---n
fogadott	fogadott	Afp-sn
fogadta	fogad	Vmis3s---y
fogadtak	fogad	Vmis3p---n
fogadtam	fogad	Vmis1s---n
fogadtam	fogad	Vmis1s---y
fogadtatni	fogadtat	Vmn
fogadtatásával	fogadtatás	Nc-si---s3
fogadták	fogad	Vmis3p---y
fogadásainak	fogadás	Nc-pd---s3
fogadásukra	fogadás	Nc-ss---p3
fogadására	fogadás	Nc-ss---s3
fogadó	fogadó	Afp-sn
fogadó	fogadó	Nc-sn
fogadóba	fogadó	Afp-sx
fogadóba	fogadó	Nc-sx
fogadószobába	fogadószoba	Nc-sx
fogadóépülete	fogadóépület	Nc-sn---s3
fogai	fog	Nc-pn---s3
fogaim	fog	Nc-pn---s1
fogait	fog	Nc-pa---s3
fogakon	fog	Nc-pp
fogalma	fogalma	Nc-sn
fogalma	fogalom	Nc-sn---s3
fogalmai	fogalmai	Afp-sn
fogalmai	fogalom	Nc-pn---s3
fogalmaink	fogalom	Nc-pn---p1
fogalmak	fogalom	Nc-pn
fogalmakban	fogalom	Nc-p2
fogalmakkal	fogalom	Nc-pi
fogalmam	fogalom	Nc-sn---s1
fogalmat	fogalom	Nc-sa
fogalmaz	fogalmaz	Vmip3s---n
fogalmazhatjuk	fogalmazhat	Vmip1p---y
fogalmazni	fogalmaz	Vmn
fogalmazom	fogalmaz	Vmip1s---y
fogalmazott	fogalmaz	Vmis3s---n
fogalmazott	fogalmazott	Afp-sn
fogalmazta	fogalmaz	Vmis3s---y
fogalmaztak	fogalmaz	Vmis3p---n
fogalmazták	fogalmaz	Vmis3p---y
fogalmazva	fogalmazva	Rv
fogalmazvány	fogalmazvány	Nc-sn
fogalmazványomat	fogalmazvány	Nc-sa
fogalmazványt	fogalmazvány	Nc-sa
fogalmazás	fogalmazás	Nc-sn
fogalmazásba	fogalmazás	Nc-sx
fogalmuk	fogalom	Nc-sn---p3
fogalmunknak	fogalom	Nc-sd---p1
fogalmába	fogalma	Nc-sx
fogalmába	fogalom	Nc-sx---s3
fogalmához	fogalma	Nc-st
fogalmához	fogalom	Nc-st---s3
fogalmára	fogalma	Nc-ss
fogalmára	fogalom	Nc-ss---s3
fogalmáról	fogalma	Nc-sh
fogalmáról	fogalom	Nc-sh---s3
fogalmát	fogalma	Nc-sa
fogalmát	fogalom	Nc-sa---s3
fogalom	fogalom	Nc-sn
fogalomként	fogalom	Rg
fogalomkörét	fogalomkör	Nc-sa-----s
fogalomkörét	fogalomkör	Nc-sa---s3
fogalomkörét	fogalomkörét	Nc-sn
fogalomvilágából	fogalomvilág	Nc-se---s3
fogamat	fog	Nc-sa
fogamzásgátlás	fogamzásgátlás	Nc-sn
foganatosíthatnak	foganatosíthat	Vmip3p---n
fogantyúval	fogantyú	Nc-si
fogat	fog	Nc-sa
fogat	fogat	Nc-sn
fogat	fogat	Vmip3s---n
fogatlan	fogatlan	Afp-sn
fogatlanná	fogatlan	Afp-sy
fogazatát	fogazat	Nc-sa---s3
fogazatú	fogazatú	Afp-sn
fogfájás	fogfájás	Nc-sn
foghatja	foghat	Vmip3s---y
fogható	fogható	Afp-sn
fogház	fogház	Nc-sn
fogházba	fogház	Nc-sx
fogházban	fogház	Nc-s2
fogházbüntetésre	fogházbüntetés	Nc-ss
fogházi	fogházi	Afp-sn
fogházkapuban	fogházkapu	Nc-s2
fogházudvaron	fogházudvar	Nc-sp
fogházőrök	fogházőr	Nc-pn
fogházőröknek	fogházőr	Nc-pd
fogházőröktől	fogházőr	Nc-pb
foghíj	foghíj	Nc-sn
foghíjas	foghíjas	Afp-sn
foghíjtelkek	foghíjtelek	Nc-pn
fogja	fog	Vmip3s---y
fogja	fog	Vmmp3s---y
fogjanak	fog	Vmmp3p---n
fogjon	fog	Vmmp3s---n
fogjuk	fog	Vmip1p---y
fogjuk	fog	Vmmp1p---y
fogjunk	fog	Vmmp1p---n
fogják	fog	Vmip3p---y
fogják	fog	Vmmp3p---y
fogjátok	fog	Vmip2p---y
fogjátok	fog	Vmmp2p---y
fogkeféje	fogkefe	Nc-sn---s3
foglak	fog	Vmip1s---2
foglak	foglak	Nc-sn
foglakozik	foglakoz	Vmip3s---n
foglal	foglal	Vmip3s---n
foglalatoskodott	foglalatoskodik	Vmis3s---n
foglalatoskodott	foglalatoskodott	Afp-sn
foglalhatja	foglalhat	Vmip3s---y
foglalható	foglalható	Afp-sn
foglalja	foglal	Vmip3s---y
foglalja	foglal	Vmmp3s---y
foglalják	foglal	Vmip3p---y
foglalják	foglal	Vmmp3p---y
foglalkozhatunk	foglalkozhat	Vmip1p---n
foglalkozik	foglalkozik	Vmip3s---n
foglalkozna	foglalkozik	Vmcp3s---n
foglalkoznak	foglalkozik	Vmip3p---n
foglalkozni	foglalkozik	Vmn
foglalkoznia	foglalkozik	Vmnp3s
foglalkozom	foglalkozik	Vmip1s---y
foglalkozott	foglalkozik	Vmis3s---n
foglalkozott	foglalkozott	Afp-sn
foglalkoztak	foglalkozik	Vmis3p---n
foglalkoztat	foglalkoztat	Vmip3s---n
foglalkoztatja	foglalkoztat	Vmip3s---y
foglalkoztatott	foglalkoztat	Vmis3s---n
foglalkoztatott	foglalkoztatott	Afp-sn
foglalkoztatottak	foglalkoztatott	Afp-pn
foglalkoztatottakhoz	foglalkoztatott	Afp-pt
foglalkoztatta	foglalkoztat	Vmis3s---y
foglalkoztatták	foglalkoztat	Vmis3p---y
foglalkoztatás	foglalkoztatás	Nc-sn
foglalkoztatása	foglalkoztatás	Nc-sn---s3
foglalkoztatási	foglalkoztatási	Afp-sn
foglalkoztatásra	foglalkoztatás	Nc-ss
foglalkoztatásért	foglalkoztatás	Nc-sc
foglalkoztató	foglalkoztató	Afp-sn
foglalkozunk	foglalkozik	Vmip1p---n
foglalkozzanak	foglalkozik	Vmmp3p---n
foglalkozzék	foglalkozik	Vmmp3s---n
foglalkozás	foglalkozás	Nc-sn
foglalkozások	foglalkozás	Nc-pn
foglalkozásokon	foglalkozás	Nc-pp
foglalkozásra	foglalkozás	Nc-ss
foglalkozó	foglalkozó	Afp-sn
foglalnak	foglal	Vmip3p---n
foglalni	foglal	Vmn
foglalná	foglal	Vmcp3s---y
foglalt	foglal	Vmis3s---n
foglalt	foglalt	Afp-sn
foglalta	foglal	Vmis3s---y
foglaltak	foglal	Vmis3p---n
foglaltak	foglalt	Afp-pn
foglaltakkal	foglalt	Afp-pi
foglaltatik	foglaltatik	Vmip3s---n
foglaltatott	foglaltat	Vmis3s---n
foglaltatott	foglaltatik	Vmis3s---n
foglaltatott	foglaltatott	Afp-sn
foglalták	foglal	Vmis3p---y
foglalva	foglalva	Rv
foglalása	foglalás	Nc-sn---s3
foglaló	foglaló	Afp-sn
foglaló	foglaló	Nc-sn
foglelt	foglelt	Afp-sn
foglyok	fogoly	Nc-pn
foglyokat	fogoly	Nc-pa
foglyokkal	fogoly	Nc-pi
foglyoknak	fogoly	Nc-pd
foglyokról	fogoly	Nc-ph
foglyoktól	fogoly	Nc-pb
foglyon	fogoly	Nc-sp
foglyot	fogoly	Nc-sa
foglyul	fogoly	Nc-sw
fognak	fog	Nc-sd
fognak	fog	Vmip3p---n
fogni	fog	Vmn
fognia	fog	Vmnp3s
fogná	fog	Vmcp3s---y
fogod	fog	Vmip2s---y
fogok	fog	Vmip1s---n
fogoly	fogoly	Nc-sn
fogolycsere	fogolycsere	Nc-sn
fogolycserére	fogolycser	Nc-ss-----s
fogolycserére	fogolycser	Nc-ss---s3
fogolycserére	fogolycsere	Nc-ss
fogolykínzások	fogolykínzás	Nc-pn
fogolynak	fogoly	Nc-sd
fogolyra	fogoly	Nc-ss
fogolyról	fogoly	Nc-sh
fogolyszokás	fogolyszokás	Nc-sn
fogolyszállítmány	fogolyszállítmány	Nc-sn
